Name,Age,Club,Position,Nationality,Matches,Goals,Assists,Yellow_Cards,Red_Cards,Market_Value_M,Weekly_Wage_K,Pass_Accuracy,Shots_On_Target,Dribbles_Per_Game
Lionel Messi,36,Inter Miami,Forward,Argentina,512,672,305,58,3,35.0,700,88.4,4.2,6.1
Cristiano Ronaldo,38,Al Nassr,Forward,Portugal,621,857,250,97,12,30.0,500,79.6,4.8,4.5
Kylian Mbappe,24,Real Madrid,Forward,France,298,255,165,32,1,180.0,1200,84.1,5.1,7.8
Erling Haaland,23,Manchester City,Forward,Norway,215,192,60,14,0,170.0,1000,73.2,6.3,3.4
Vinicius Jr,23,Real Madrid,Forward,Brazil,201,87,85,41,2,150.0,950,82.5,3.6,8.2
Kevin De Bruyne,32,Manchester City,Midfielder,Belgium,389,97,193,49,2,90.0,800,91.3,2.1,4.7
Luka Modric,38,Real Madrid,Midfielder,Croatia,498,88,149,73,4,18.0,300,92.8,1.3,3.2
Pedri,21,Barcelona,Midfielder,Spain,189,21,44,24,1,120.0,850,93.5,1.0,5.6
Bukayo Saka,22,Arsenal,Midfielder,England,265,58,72,18,0,130.0,700,85.2,2.7,5.9
Jude Bellingham,20,Real Madrid,Midfielder,England,198,42,38,22,0,180.0,900,87.6,2.0,4.8
Virgil van Dijk,32,Liverpool,Defender,Netherlands,342,31,18,45,3,65.0,450,88.9,0.3,1.2
Ruben Dias,26,Manchester City,Defender,Portugal,239,13,9,28,1,85.0,550,90.1,0.4,1.0
Trent Alexander-Arnold,25,Real Madrid,Defender,England,301,22,79,34,2,70.0,500,89.7,0.9,2.3
Alisson Becker,31,Liverpool,Goalkeeper,Brazil,310,0,2,8,0,65.0,350,0.0,0.0,0.0
Ederson,30,Manchester City,Goalkeeper,Brazil,295,0,1,5,0,60.0,320,0.0,0.0,0.0
Antoine Griezmann,32,Atletico Madrid,Forward,France,498,256,179,64,4,55.0,600,84.7,3.1,4.0
Bernardo Silva,29,Manchester City,Midfielder,Portugal,378,61,98,35,1,80.0,650,90.4,1.8,3.9
Raphinha,27,Barcelona,Midfielder,Brazil,265,72,60,28,1,70.0,500,83.6,2.9,5.4
Marcus Rashford,26,Manchester United,Forward,England,312,107,65,30,2,75.0,450,81.2,3.3,4.2
Rodri,27,Manchester City,Midfielder,Spain,298,18,32,56,4,110.0,700,94.2,0.7,2.1
